timestamp,position_lat,position_long,distance,altitude,speed,heart_rate,cadence,fractional_cadence
1039130229,587914475,-1466349517,10.25,391.4,0,89,0,0
1039130230,587914443,-1466349508,10.55,391.4,0,88,0,0
1039130231,587914427,-1466349528,10.72,391.4,0,88,0,0
1039130232,587914426,-1466349604,11.13,391.4,0,88,0,0
1039130233,587914391,-1466349653,11.57,391.6,0,88,0,0
1039130234,587914422,-1466349621,11.57,391.6,0,87,0,0
1039130235,587914434,-1466349648,11.76,391.4,0,87,0,0
1039130236,587914456,-1466349714,12.2,391.4,0,86,0,0
1039130237,587914468,-1466349713,12.26,391.4,0,87,0,0
1039130238,587914513,-1466349797,12.92,391.6,0,86,0,0
1039130239,587914576,-1466349872,13.64,391.6,0,87,0,0
1039130240,587914618,-1466350032,14.69,391.79999999999995,0,88,0,0
1039130241,587914681,-1466350169,15.71,391.79999999999995,0,89,0,0
1039130242,587914722,-1466350339,16.8,391.79999999999995,0,88,56,0
1039130243,587914778,-1466350510,17.96,392,0,89,57,0
1039130244,587914822,-1466350669,19.01,392.20000000000005,0,88,57,0
1039130245,587914894,-1466350897,20.56,392.4,0,89,56,0
1039130246,587914970,-1466351200,22.53,392.4,0.681,88,54,0
1039130247,587915099,-1466351491,24.67,392.6,1.736,88,54,0
1039130248,587915242,-1466351889,27.44,392.6,1.736,89,54,0
1039130249,587915427,-1466352264,30.27,392.6,2.258,90,82,0.5
1039130250,587915674,-1466352599,33.33,392.6,2.258,91,84,0
1039130251,587915957,-1466352854,36.38,392.6,2.585,92,84,0
1039130252,587916262,-1466353069,39.49,392.79999999999995,2.837,91,84,0.5
1039130253,587916575,-1466353226,42.55,392.79999999999995,2.911,92,86,0
1039130254,587916902,-1466353327,45.66,392.79999999999995,2.939,90,86,0
1039130255,587917243,-1466353401,48.88,392.79999999999995,2.939,91,87,0
1039130256,587917539,-1466353510,51.71,392.79999999999995,2.948,97,87,0
1039130257,587917833,-1466353523,54.44,392.6,2.958,100,87,0
1039130258,587918107,-1466353417,57.08,392.6,2.902,103,85,0
1039130259,587918352,-1466353293,59.48,392.6,2.902,106,84,0.5
1039130260,587918548,-1466353103,61.65,392.6,2.837,108,84,0.5
1039130261,587918711,-1466352883,63.68,392.6,2.79,109,84,0.5
1039130262,587918784,-1466352592,65.57,392.6,2.743,111,84,0.5
1039130263,587918819,-1466352276,67.52,392.6,2.706,112,83,0.5
1039130264,587918786,-1466351918,69.71,392.6,2.622,113,83,0.5
1039130265,587918685,-1466351589,71.92,392.79999999999995,2.547,116,84,0.5
1039130266,587918518,-1466351410,73.81,392.79999999999995,2.538,118,84,0.5
1039130267,587918274,-1466351192,76.38,392.79999999999995,2.538,120,84,0.5
1039130268,587917991,-1466350961,79.36,392.79999999999995,2.547,122,82,0.5
1039130269,587917731,-1466350814,81.94,392.79999999999995,2.547,123,81,0.5
1039130270,587917447,-1466350783,84.6,392.79999999999995,2.585,126,80,0.5
1039130271,587917148,-1466350703,87.41,392.79999999999995,2.585,129,80,0.5
1039130272,587916902,-1466350674,89.72,392.79999999999995,2.603,130,79,0.5
1039130273,587916644,-1466350704,92.1,392.79999999999995,2.603,138,78,0.5
1039130274,587916386,-1466350674,94.51,392.79999999999995,2.575,140,78,0.5
1039130275,587916155,-1466350677,96.67,392.79999999999995,2.575,141,79,0.5
1039130276,587915879,-1466350664,99.22,392.79999999999995,2.538,142,80,0
1039130277,587915605,-1466350668,101.77,392.79999999999995,2.519,143,81,0
1039130278,587915382,-1466350684,103.85,392.79999999999995,2.519,143,81,0
1039130279,587915139,-1466350676,106.12,392.79999999999995,2.473,144,81,0
1039130280,587914894,-1466350584,108.46,392.20000000000005,2.473,144,81,0.5
1039130281,587914705,-1466350399,110.55,391.79999999999995,2.473,145,82,0.5
1039130282,587914502,-1466350132,113.04,391.79999999999995,2.454,145,82,0.5
1039130283,587914348,-1466349875,115.15,391.79999999999995,2.435,146,82,0.5
1039130284,587914187,-1466349679,117.05,392.20000000000005,2.435,146,82,0.5
1039130285,587914084,-1466349528,118.37,392,2.417,146,81,0.5
1039130286,587914032,-1466349482,118.9,391.79999999999995,2.351,147,0,0
1039130287,587913983,-1466349497,119.29,391.79999999999995,2.211,146,0,0
1039130288,587913967,-1466349569,119.76,392.20000000000005,2.211,147,67,0.5
1039130289,587913939,-1466349672,120.41,392.6,0.746,147,67,0.5
1039130290,587913857,-1466349893,121.93,392.4,0.746,148,0,0
1039130291,587913757,-1466350090,123.37,392,0.942,149,0,0
1039130292,587913703,-1466350387,125.23,392.4,1.39,148,0,0
1039130293,587913672,-1466350669,126.95,392.20000000000005,1.754,148,78,0.5
1039130294,587913649,-1466350973,128.78,392.4,1.941,149,78,0.5
1039130295,587913627,-1466351202,130.18,392.79999999999995,1.941,148,78,0
1039130296,587913652,-1466351273,130.58,392.6,1.362,147,78,0
1039130297,587913628,-1466351374,131.07,392,1.362,147,78,0
1039130298,587913598,-1466351447,131.53,390.79999999999995,1.204,147,77,0.5
1039130299,587913551,-1466351476,131.98,390.79999999999995,1.157,145,77,0.5
1039130300,587913484,-1466351495,132.61,390.6,1.129,145,79,0.5
1039130301,587913395,-1466351590,133.61,391.20000000000005,1.12,145,79,0.5
1039130302,587913298,-1466351680,134.68,391.6,0.998,145,79,0.5
1039130303,587913233,-1466351770,135.48,391.79999999999995,0.989,146,79,0.5
1039130304,587913156,-1466351890,136.5,391.79999999999995,0.989,146,79,0.5
1039130305,587913089,-1466351971,137.3,391.79999999999995,0.97,145,60,0.5
1039130306,587912997,-1466352075,138.36,391.6,0.952,145,60,0.5
1039130307,587912939,-1466352062,138.81,391.20000000000005,0.97,144,60,0.5
1039130308,587912806,-1466351890,140.14,390.79999999999995,0.97,146,60,0.5
1039130309,587912726,-1466351757,141.13,390.4,0.97,147,59,0.5
1039130310,587912624,-1466351733,142.08,390,0.989,147,59,0
1039130311,587912546,-1466351721,142.79,390,0.989,150,0,0
1039130312,587912477,-1466351726,143.43,389.79999999999995,0.989,152,0,0
1039130313,587912436,-1466351720,143.81,389.6,0.886,154,0,0
1039130314,587912377,-1466351711,144.37,389.6,0.886,155,0,0
1039130315,587912328,-1466351732,144.82,389.6,0.812,155,0,0
1039130316,587912311,-1466351759,145,389.4,0.765,154,0,0
1039130317,587912273,-1466351801,145.39,389.4,0.737,153,0,0
1039130318,587912235,-1466351790,145.75,389.4,0.69,152,43,0.5
1039130319,587912214,-1466351810,145.96,389.4,0.672,151,43,0.5
1039130320,587912134,-1466351912,146.92,389.4,0.644,150,43,0.5
1039130321,587912215,-1466351969,146.92,389.4,0.644,151,43,0.5
1039130322,587912443,-1466351962,147.11,389.4,0.653,151,0,0
1039130323,587912599,-1466351926,147.74,390.4,0.653,150,0,0
1039130324,587912767,-1466351864,149.33,390.20000000000005,0.653,150,0,0
1039130325,587912863,-1466351726,150.54,390.20000000000005,0.756,149,0,0
1039130326,587912860,-1466351652,150.96,390.20000000000005,0.756,149,0,0
1039130327,587912866,-1466351589,151.35,390.20000000000005,0.756,146,0,0
