timestamp,start_time,start_position_lat,start_position_long,end_position_lat,end_position_long,total_elapsed_time,total_timer_time,total_distance,total_cycles,message_index,total_calories,avg_speed,max_speed,total_ascent,total_descent,event,event_type,avg_heart_rate,max_heart_rate,avg_cadence,max_cadence,lap_trigger,sport,sub_sport,avg_fractional_cadence,max_fractional_cadence
1039130391,1039130141,587914452,-1466349239,587912420,-1466350236,250.459,250.459,168.99,109,0,24,0.675,2.958,0,2,lap,stop,117,155,21,87,manual,running,generic,0.3515625,0
1039130519,1039130391,587912492,-1466350188,587911900,-1466349377,127.775,127.775,310.86,177,1,17,2.433,3.238,0,0,lap,stop,149,163,82,87,manual,running,generic,0.9375,0
1039130755,1039130519,587911818,-1466349118,587915690,-1466338750,235.606,235.606,157.35,111,2,30,0.668,2.314,2,0,lap,stop,144,172,21,83,manual,running,generic,0.0703125,0.5
1039130894,1039130755,587915705,-1466338752,587914219,-1466348551,139.641,139.641,373.57,200,3,21,2.675,2.771,0,0,lap,stop,160,182,83,90,manual,running,generic,0.8671875,0
1039131071,1039130894,587914235,-1466348398,587915559,-1466338412,176.464,176.464,107.08,82,4,25,0.607,1.4,0,0,lap,stop,154,182,27,86,manual,running,generic,0.7109375,0
1039131196,1039131071,587915730,-1466338465,587920133,-1466350034,125.226,125.226,352.22,186,5,19,2.813,3.023,0,0,lap,stop,164,182,87,92,manual,running,generic,0.5546875,0
1039131514,1039131196,587920088,-1466350422,587916180,-1466339072,317.756,317.756,179.42,173,6,38,0.565,2.473,0,0,lap,stop,146,182,27,88,manual,running,generic,0.96875,0
1039131642,1039131514,587916259,-1466339074,587916751,-1466352119,128.787,128.787,326.35,192,7,18,2.534,2.948,0,0,lap,stop,160,179,88,94,manual,running,generic,0.2109375,0
1039131652,1039131642,587916520,-1466352097,587915441,-1466352154,6.08,6.08,12.17,7,8,1,2.002,2.557,0,0,lap,stop,180,180,89,89,session_end,running,generic,0,0
