timestamp_x,gFx,gFy,gFz,timestamp2,timestamp_y,distance,speed,heart_rate,cadence,fractional_cadence
0 days 00:17:39,-0.2827,-1.3926,0.3397,0 days 00:17:39,0 days 00:17:39,1395.72,0.0,117,0,0.0
0 days 00:17:39.100000,0.6162,-0.6185,-0.0736,0 days 00:17:39,0 days 00:17:39,1395.72,0.0,117,0,0.0
0 days 00:17:39.200000,1.8914000000000002,-1.4533,0.3307,0 days 00:17:39,0 days 00:17:39,1395.72,0.0,117,0,0.0
0 days 00:17:39.300000,1.9510999999999998,-0.7168,0.8001000000000001,0 days 00:17:39,0 days 00:17:39,1395.72,0.0,117,0,0.0
0 days 00:17:39.400000,0.9577,-1.9156,0.27440000000000003,0 days 00:17:39,0 days 00:17:39,1395.72,0.0,117,0,0.0
0 days 00:17:39.500000,-0.5403,-2.1069,0.4002,0 days 00:17:39,0 days 00:17:39,1395.72,0.0,117,0,0.0
0 days 00:17:39.600000,-1.0542,-0.9873,0.4852,0 days 00:17:39,0 days 00:17:39,1395.72,0.0,117,0,0.0
0 days 00:17:39.700000,-0.11910000000000001,-1.3613,0.26480000000000004,0 days 00:17:39,0 days 00:17:39,1395.72,0.0,117,0,0.0
0 days 00:17:39.800000,0.5674,-0.4786,-0.0732,0 days 00:17:39,0 days 00:17:39,1395.72,0.0,117,0,0.0
0 days 00:17:39.900000,1.876,-1.3695,0.23289999999999997,0 days 00:17:39,0 days 00:17:39,1395.72,0.0,117,0,0.0
0 days 00:17:40,1.2530000000000001,-1.4228,-0.3358,0 days 00:17:40,0 days 00:17:40,1395.72,0.0,117,0,0.0
0 days 00:17:40.100000,1.0901,-2.0871000000000004,0.2245,0 days 00:17:40,0 days 00:17:40,1395.72,0.0,117,0,0.0
0 days 00:17:40.200000,-0.9184999999999999,-1.6629999999999998,0.4051,0 days 00:17:40,0 days 00:17:40,1395.72,0.0,117,0,0.0
0 days 00:17:40.300000,-0.9639,-0.8634000000000001,0.46209999999999996,0 days 00:17:40,0 days 00:17:40,1395.72,0.0,117,0,0.0
0 days 00:17:40.400000,-0.025999999999999978,-1.1508,0.23009999999999997,0 days 00:17:40,0 days 00:17:40,1395.72,0.0,117,0,0.0
0 days 00:17:40.500000,0.6785,-0.6185,-0.0801,0 days 00:17:40,0 days 00:17:40,1395.72,0.0,117,0,0.0
0 days 00:17:40.600000,1.7433,-1.1526999999999998,0.3539,0 days 00:17:40,0 days 00:17:40,1395.72,0.0,117,0,0.0
0 days 00:17:40.700000,1.968,-0.8892999999999999,0.0232,0 days 00:17:40,0 days 00:17:40,1395.72,0.0,117,0,0.0
0 days 00:17:40.800000,1.3203,-2.0854,0.40619999999999995,0 days 00:17:40,0 days 00:17:40,1395.72,0.0,117,0,0.0
0 days 00:17:40.900000,-0.9061,-1.6222,0.3402,0 days 00:17:40,0 days 00:17:40,1395.72,0.0,117,0,0.0
0 days 00:17:41,-0.9943,-0.9425000000000001,0.47939999999999994,0 days 00:17:41,0 days 00:17:41,1395.72,0.0,118,0,0.0
0 days 00:17:41.100000,0.1829,-1.1300000000000001,0.2412,0 days 00:17:41,0 days 00:17:41,1395.72,0.0,118,0,0.0
0 days 00:17:41.200000,0.6409,-0.5039,-0.038400000000000004,0 days 00:17:41,0 days 00:17:41,1395.72,0.0,118,0,0.0
0 days 00:17:41.300000,1.6718,-1.1205,0.010199999999999997,0 days 00:17:41,0 days 00:17:41,1395.72,0.0,118,0,0.0
0 days 00:17:41.400000,1.9533,-0.7716,0.2743999999999999,0 days 00:17:41,0 days 00:17:41,1395.72,0.0,118,0,0.0
0 days 00:17:41.500000,1.1143333333333334,-2.339111111111111,0.4692222222222222,0 days 00:17:41,0 days 00:17:41,1395.72,0.0,118,0,0.0
0 days 00:17:41.600000,-1.1732727272727272,-1.362,0.39681818181818185,0 days 00:17:41,0 days 00:17:41,1395.72,0.0,118,0,0.0
0 days 00:17:41.700000,-0.8917777777777778,-1.1093333333333333,0.4121111111111111,0 days 00:17:41,0 days 00:17:41,1395.72,0.0,118,0,0.0
0 days 00:17:41.800000,0.2446,-0.9884999999999999,0.25060000000000004,0 days 00:17:41,0 days 00:17:41,1395.72,0.0,118,0,0.0
