timestamp_x,gFx,gFy,gFz,timestamp2,timestamp_y,distance,speed,heart_rate,cadence,fractional_cadence
0 days 00:07:08,1.0409,-1.1014,0.20750000000000002,0 days 00:07:08,0 days 00:07:08,479.01,0.0,119,0,0.0
0 days 00:07:08.100000,2.3439166666666664,-0.5484166666666667,0.4891666666666666,0 days 00:07:08,0 days 00:07:08,479.01,0.0,119,0,0.0
0 days 00:07:08.200000,1.0160909090909092,-1.9755454545454547,0.34654545454545455,0 days 00:07:08,0 days 00:07:08,479.01,0.0,119,0,0.0
0 days 00:07:08.300000,0.07728571428571433,-2.7952857142857144,0.2077142857142857,0 days 00:07:08,0 days 00:07:08,479.01,0.0,119,0,0.0
0 days 00:07:08.400000,-1.3797000000000001,-0.47969999999999996,0.4328,0 days 00:07:08,0 days 00:07:08,479.01,0.0,119,0,0.0
0 days 00:07:08.500000,-0.6087,-1.506,0.31100000000000005,0 days 00:07:08,0 days 00:07:08,479.01,0.0,119,0,0.0
0 days 00:07:08.600000,0.8404545454545453,-0.622909090909091,-0.0649090909090909,0 days 00:07:08,0 days 00:07:08,479.01,0.0,119,0,0.0
0 days 00:07:08.700000,1.5541,-1.1366,0.31379999999999997,0 days 00:07:08,0 days 00:07:08,479.01,0.0,119,0,0.0
0 days 00:07:08.800000,1.9313333333333336,-0.5237777777777778,-0.10788888888888888,0 days 00:07:08,0 days 00:07:08,479.01,0.0,119,0,0.0
0 days 00:07:08.900000,0.9412,-2.3113,-0.32280000000000003,0 days 00:07:08,0 days 00:07:08,479.01,0.0,119,0,0.0
0 days 00:07:09,0.1484,-2.6425,0.458,0 days 00:07:09,0 days 00:07:09,479.01,0.0,119,0,0.0
0 days 00:07:09.100000,-0.9212,-0.5481,0.4686,0 days 00:07:09,0 days 00:07:09,479.01,0.0,119,0,0.0
0 days 00:07:09.200000,-1.0115,-1.6492999999999998,0.7232999999999999,0 days 00:07:09,0 days 00:07:09,479.01,0.0,119,0,0.0
0 days 00:07:09.300000,0.9594000000000001,-0.4526,0.019400000000000004,0 days 00:07:09,0 days 00:07:09,479.01,0.0,119,0,0.0
0 days 00:07:09.400000,1.0252000000000001,-0.9745000000000001,-0.08449999999999999,0 days 00:07:09,0 days 00:07:09,479.01,0.0,119,0,0.0
0 days 00:07:09.500000,1.7376999999999998,-0.6743,-0.06410000000000002,0 days 00:07:09,0 days 00:07:09,479.01,0.0,119,0,0.0
0 days 00:07:09.600000,2.242,-2.5578,-1.1536000000000002,0 days 00:07:09,0 days 00:07:09,479.01,0.0,119,0,0.0
0 days 00:07:09.700000,-0.33520000000000005,-2.3890000000000002,0.48,0 days 00:07:09,0 days 00:07:09,479.01,0.0,119,0,0.0
0 days 00:07:09.800000,-0.7543,-0.7414,0.5669,0 days 00:07:09,0 days 00:07:09,479.01,0.0,119,0,0.0
0 days 00:07:09.900000,-0.7071,-1.4785,0.3881,0 days 00:07:09,0 days 00:07:09,479.01,0.0,119,0,0.0
0 days 00:07:10,0.8145999999999999,-0.47640000000000005,0.0629,0 days 00:07:10,0 days 00:07:10,479.01,0.0,119,0,0.0
0 days 00:07:10.100000,1.1653,-1.0375,0.1947,0 days 00:07:10,0 days 00:07:10,479.01,0.0,119,0,0.0
0 days 00:07:10.200000,1.5749999999999997,-0.35019999999999996,0.034499999999999996,0 days 00:07:10,0 days 00:07:10,479.01,0.0,119,0,0.0
0 days 00:07:10.300000,2.6425,-2.814,-0.592,0 days 00:07:10,0 days 00:07:10,479.01,0.0,119,0,0.0
0 days 00:07:10.400000,-0.32710000000000006,-2.5084,0.40659999999999996,0 days 00:07:10,0 days 00:07:10,479.01,0.0,119,0,0.0
0 days 00:07:10.500000,-0.8934000000000001,-0.6496999999999999,0.5044000000000001,0 days 00:07:10,0 days 00:07:10,479.01,0.0,119,0,0.0
0 days 00:07:10.600000,-0.8628,-1.2955,0.4998,0 days 00:07:10,0 days 00:07:10,479.01,0.0,119,0,0.0
0 days 00:07:10.700000,1.0515,-0.298,0.0925,0 days 00:07:10,0 days 00:07:10,479.01,0.0,119,0,0.0
0 days 00:07:10.800000,1.0031,-1.1064,0.1625,0 days 00:07:10,0 days 00:07:10,479.01,0.0,119,0,0.0
0 days 00:07:10.900000,1.6789999999999998,-0.47329999999999994,-0.004400000000000004,0 days 00:07:10,0 days 00:07:10,479.01,0.0,119,0,0.0
0 days 00:07:11,2.334,-2.3680999999999996,-0.449,0 days 00:07:11,0 days 00:07:11,479.01,0.0,119,0,0.0
0 days 00:07:11.100000,0.11189999999999997,-2.531,0.5045,0 days 00:07:11,0 days 00:07:11,479.01,0.0,119,0,0.0
0 days 00:07:11.200000,-0.9874,-0.6689999999999999,0.47300000000000003,0 days 00:07:11,0 days 00:07:11,479.01,0.0,119,0,0.0
0 days 00:07:11.300000,-0.8066000000000001,-1.4827,0.4821,0 days 00:07:11,0 days 00:07:11,479.01,0.0,119,0,0.0
0 days 00:07:11.400000,1.0213,-0.3034,0.0339,0 days 00:07:11,0 days 00:07:11,479.01,0.0,119,0,0.0
0 days 00:07:11.500000,0.8621000000000001,-1.056,0.0703,0 days 00:07:11,0 days 00:07:11,479.01,0.0,119,0,0.0
0 days 00:07:11.600000,1.8582999999999998,-0.7189,-0.053000000000000005,0 days 00:07:11,0 days 00:07:11,479.01,0.0,119,0,0.0
0 days 00:07:11.700000,1.8466,-2.4737,-0.0025000000000000022,0 days 00:07:11,0 days 00:07:11,479.01,0.0,119,0,0.0
0 days 00:07:11.800000,0.23559999999999998,-2.5055,0.4133,0 days 00:07:11,0 days 00:07:11,479.01,0.0,119,0,0.0
0 days 00:07:11.900000,-1.165,-0.6103,0.4861,0 days 00:07:11,0 days 00:07:11,479.01,0.0,119,0,0.0
0 days 00:07:12,-0.8087,-1.4879,0.5082,0 days 00:07:12,0 days 00:07:12,479.01,0.0,118,86,0.0
0 days 00:07:12.100000,1.0648,-0.1621,0.0603,0 days 00:07:12,0 days 00:07:12,479.01,0.0,118,86,0.0
0 days 00:07:12.200000,0.9073,-0.8565999999999999,0.055099999999999996,0 days 00:07:12,0 days 00:07:12,479.01,0.0,118,86,0.0
0 days 00:07:12.300000,1.7494,-0.8234,-0.1277,0 days 00:07:12,0 days 00:07:12,479.01,0.0,118,86,0.0
0 days 00:07:12.400000,1.0633000000000001,-1.5467,1.0283,0 days 00:07:12,0 days 00:07:12,479.01,0.0,118,86,0.0
0 days 00:07:12.500000,0.6364000000000001,-2.6275,0.5530999999999999,0 days 00:07:12,0 days 00:07:12,479.01,0.0,118,86,0.0
0 days 00:07:12.600000,-1.2664,-0.511,0.35409999999999997,0 days 00:07:12,0 days 00:07:12,479.01,0.0,118,86,0.0
0 days 00:07:12.700000,-0.8237,-1.6134,0.5845,0 days 00:07:12,0 days 00:07:12,479.01,0.0,118,86,0.0
0 days 00:07:12.800000,0.8018000000000001,-0.39780000000000004,0.10790000000000002,0 days 00:07:12,0 days 00:07:12,479.01,0.0,118,86,0.0
0 days 00:07:12.900000,0.5945,-0.7939999999999999,0.1355,0 days 00:07:12,0 days 00:07:12,479.01,0.0,118,86,0.0
0 days 00:07:13,2.0367,-0.8803000000000001,-0.1046,0 days 00:07:13,0 days 00:07:13,479.01,0.0,119,87,0.0
0 days 00:07:13.100000,2.1902,-1.9868,0.6113,0 days 00:07:13,0 days 00:07:13,479.01,0.0,119,87,0.0
0 days 00:07:13.200000,0.3176,-2.552,0.48319999999999996,0 days 00:07:13,0 days 00:07:13,479.01,0.0,119,87,0.0
0 days 00:07:13.300000,-1.2337,-0.5512,0.41240000000000004,0 days 00:07:13,0 days 00:07:13,479.01,0.0,119,87,0.0
0 days 00:07:13.400000,-0.6868000000000001,-1.5906,0.5243,0 days 00:07:13,0 days 00:07:13,479.01,0.0,119,87,0.0
0 days 00:07:13.500000,0.929,-0.2922,-0.021,0 days 00:07:13,0 days 00:07:13,479.01,0.0,119,87,0.0
0 days 00:07:13.600000,0.8285,-0.8634999999999999,0.1835,0 days 00:07:13,0 days 00:07:13,479.01,0.0,119,87,0.0
0 days 00:07:13.700000,2.0373,-0.7905,0.034300000000000004,0 days 00:07:13,0 days 00:07:13,479.01,0.0,119,87,0.0
0 days 00:07:13.800000,1.5915,-2.5765000000000002,0.14079999999999998,0 days 00:07:13,0 days 00:07:13,479.01,0.0,119,87,0.0
0 days 00:07:13.900000,0.396,-2.447,0.4427,0 days 00:07:13,0 days 00:07:13,479.01,0.0,119,87,0.0
0 days 00:07:14,-1.1608,-0.5769,0.3711,0 days 00:07:14,0 days 00:07:14,480.21,1.194,119,87,0.5
