timestamp_x,gFx,gFy,gFz,timestamp2,timestamp_y,distance,speed,heart_rate,cadence,fractional_cadence
0 days 00:12:17,1.6473333333333333,-1.6593333333333333,0.30622222222222223,0 days 00:12:17,0 days 00:12:17,937.59,0.0,120,0,0.0
0 days 00:12:17.100000,-0.5502,-2.1288,0.1897,0 days 00:12:17,0 days 00:12:17,937.59,0.0,120,0,0.0
0 days 00:12:17.200000,-0.8415000000000001,-0.7461,0.5065999999999999,0 days 00:12:17,0 days 00:12:17,937.59,0.0,120,0,0.0
0 days 00:12:17.300000,-0.2725,-1.508,0.3618,0 days 00:12:17,0 days 00:12:17,937.59,0.0,120,0,0.0
0 days 00:12:17.400000,0.599,-0.5589,-0.027399999999999997,0 days 00:12:17,0 days 00:12:17,937.59,0.0,120,0,0.0
0 days 00:12:17.500000,1.918,-1.3647,0.2454,0 days 00:12:17,0 days 00:12:17,937.59,0.0,120,0,0.0
0 days 00:12:17.600000,1.9359000000000002,-0.9849,0.33080000000000004,0 days 00:12:17,0 days 00:12:17,937.59,0.0,120,0,0.0
0 days 00:12:17.700000,1.3555,-1.9035,0.34009999999999996,0 days 00:12:17,0 days 00:12:17,937.59,0.0,120,0,0.0
0 days 00:12:17.800000,-1.1895,-1.6619,0.2657,0 days 00:12:17,0 days 00:12:17,937.59,0.0,120,0,0.0
0 days 00:12:17.900000,-0.728,-0.901,0.3053,0 days 00:12:17,0 days 00:12:17,937.59,0.0,120,0,0.0
0 days 00:12:18,-0.022099999999999998,-1.2568,0.2701,0 days 00:12:18,0 days 00:12:18,937.59,0.0,120,0,0.0
0 days 00:12:18.100000,0.6904,-0.5820000000000001,0.05449999999999999,0 days 00:12:18,0 days 00:12:18,937.59,0.0,120,0,0.0
0 days 00:12:18.200000,2.1933,-1.1038999999999999,0.21680000000000002,0 days 00:12:18,0 days 00:12:18,937.59,0.0,120,0,0.0
0 days 00:12:18.300000,1.688,-0.9471,0.2024,0 days 00:12:18,0 days 00:12:18,937.59,0.0,120,0,0.0
0 days 00:12:18.400000,1.5985999999999998,-1.8922,0.6022000000000001,0 days 00:12:18,0 days 00:12:18,937.59,0.0,120,0,0.0
0 days 00:12:18.500000,-1.2665,-1.4457,0.3124,0 days 00:12:18,0 days 00:12:18,937.59,0.0,120,0,0.0
0 days 00:12:18.600000,-0.7008,-0.9747,0.4444,0 days 00:12:18,0 days 00:12:18,937.59,0.0,120,0,0.0
0 days 00:12:18.700000,0.09269999999999998,-1.2091,0.3148,0 days 00:12:18,0 days 00:12:18,937.59,0.0,120,0,0.0
0 days 00:12:18.800000,0.7088,-0.6758,-0.0437,0 days 00:12:18,0 days 00:12:18,937.59,0.0,120,0,0.0
0 days 00:12:18.900000,2.2458,-0.9945,0.0357,0 days 00:12:18,0 days 00:12:18,937.59,0.0,120,0,0.0
0 days 00:12:19,1.2775,-1.2967,0.44489999999999996,0 days 00:12:19,0 days 00:12:19,937.59,0.0,120,0,0.0
0 days 00:12:19.100000,1.4647999999999999,-2.3431,0.34819999999999995,0 days 00:12:19,0 days 00:12:19,937.59,0.0,120,0,0.0
0 days 00:12:19.200000,-1.4929000000000001,-0.9945999999999999,0.3575,0 days 00:12:19,0 days 00:12:19,937.59,0.0,120,0,0.0
0 days 00:12:19.300000,-0.658,-1.4007,0.4725,0 days 00:12:19,0 days 00:12:19,937.59,0.0,120,0,0.0
0 days 00:12:19.400000,0.3234,-0.968,0.2607,0 days 00:12:19,0 days 00:12:19,937.59,0.0,120,0,0.0
0 days 00:12:19.500000,0.8475999999999999,-0.7148,0.0965,0 days 00:12:19,0 days 00:12:19,937.59,0.0,120,0,0.0
0 days 00:12:19.600000,2.2301,-1.0276,-0.055299999999999995,0 days 00:12:19,0 days 00:12:19,937.59,0.0,120,0,0.0
0 days 00:12:19.700000,1.0835,-1.3221,0.5170000000000001,0 days 00:12:19,0 days 00:12:19,937.59,0.0,120,0,0.0
