distance
4453
5345
4773
4314
4747
5701
3532
5257
4946
5331
4362
4220
4851
5064
5218
4751
5453
4920
5425
4476
5303
4895
4207
4583
5710
5098
5950
4115
5098
4479
5540
5230
5203
5230
5865
4429
4407
5295
5002
5198
4700
5932
3544
4830
5909
4438
4907
4732
5378
5167
5831
3852
5508
4876
4983
4988
4807
5775
4262
5541
4554
5745
4378
5472
4579
5428
4937
4967
4999
4790
5849
4054
4923
5113
5021
4910
4853
5234
4607
5563
4531
4713
5407
3956
5521
5217
4957
6131
4055
5097
5082
5172
4809
5486
4555
4855
6371
4115
5349
4858
6150
4246
4662
5185
4885
4948
5172
5749
4702
4887
4762
5028
5572
6068
3997
5645
5558
4440
5486
5421
2082
4250
4950
4828
5302
4675
5038
5303
4565
6228
3891
5535
4846
5081
6108
4536
4995
6455
3723
5517
1521
5264
3912
4993
5105
6323
3719
5259
5122
4992
5524
5140
4590
4906
5664
4833
4890
5309
5222
4993
5711
6517
3583
5097
4961
4977
6096
4590
5167
4713
4734
4847
5021
5131
1564
3645
4959
5602
4921
4990
4848
6186
3670
5179
5191
5967
4536
5438
5859
3974
5125
4993
5060
4939
5391
5933
4162
3609
4382
5585
5163
5050
5280
5139
5257
4914
4961
5205
5539
4997
5565
4373
4906
5200
4945
5095
5259
5541
4622
4600
5409
5020
4820
5271
5474
3746
5287
3662
5251
5279
5212
5619
4824
5191
5093
4946
5007
5048
5265
5478
4687
5306
4289
5787
4333
3549
5326
5051
4437
4874
5438
4017
5157
4236
5192
5282
4763
4952
4567
5368
4758
5040
4925
4665
4792
5133
5212
4888
5089
5291
5233
4946
5109
4761
3567
4464
5157
3758
4347
4690
5044
4651
5055
5116
4763
5093
5086
5131
5212
5411
5394
5742
4888
5084
5269
5190
5316
5367
5568
4972
5927
5325
5073
5211
5268
4541
5354
5154
5162
5049
5209
5064
4711
5018
4266
5018
4785
4994
4967
5023
4877
5789
4875
5295
5320
5096
5240
5430
5237
5232
5435
5620
4851
6174
3788
5723
5611
