time,accl
2022/11/27 16:53:20.561,-0.223816
2022/11/27 16:53:20.661,-0.239197
2022/11/27 16:53:20.761,-0.194534
2022/11/27 16:53:20.862,-0.072052
2022/11/27 16:53:20.962,0.171829
2022/11/27 16:53:21.062,-0.031433
2022/11/27 16:53:21.163,-0.082596
2022/11/27 16:53:21.263,-0.090775
2022/11/27 16:53:21.363,-0.075134
2022/11/27 16:53:21.463,-0.213745
2022/11/27 16:53:21.564,-0.226013
2022/11/27 16:53:21.664,0.445755
2022/11/27 16:53:21.765,-0.163940
2022/11/27 16:53:21.865,-0.324738
2022/11/27 16:53:21.966,-0.339600
2022/11/27 16:53:22.066,-0.316803
2022/11/27 16:53:22.171,-0.373535
2022/11/27 16:53:22.266,-0.296112
2022/11/27 16:53:22.366,-0.470322
2022/11/27 16:53:22.467,-0.266937
2022/11/27 16:53:22.572,-0.428085
2022/11/27 16:53:22.668,-0.418671
2022/11/27 16:53:22.768,-1.797348
2022/11/27 16:53:22.868,-0.499878
2022/11/27 16:53:22.973,-0.314880
2022/11/27 16:53:23.069,-0.376297
2022/11/27 16:53:23.169,-0.520905
2022/11/27 16:53:23.269,-0.559204
2022/11/27 16:53:23.373,-0.203583
2022/11/27 16:53:23.470,0.666412
2022/11/27 16:53:23.570,-0.045715
2022/11/27 16:53:23.671,-0.397095
2022/11/27 16:53:23.773,-0.361877
2022/11/27 16:53:23.871,-0.798141
2022/11/27 16:53:23.972,-0.435791
2022/11/27 16:53:24.072,-0.212616
2022/11/27 16:53:24.174,0.953827
2022/11/27 16:53:24.272,-0.513199
2022/11/27 16:53:24.373,-0.229965
2022/11/27 16:53:24.473,0.518738
2022/11/27 16:53:24.574,-0.369812
2022/11/27 16:53:24.674,-0.170029
2022/11/27 16:53:24.774,-0.030838
2022/11/27 16:53:24.874,-2.704285
2022/11/27 16:53:24.975,-0.671738
2022/11/27 16:53:25.075,-0.919327
2022/11/27 16:53:25.175,-0.819229
2022/11/27 16:53:25.275,-0.867966
2022/11/27 16:53:25.376,-0.456116
2022/11/27 16:53:25.476,-0.419861
2022/11/27 16:53:25.576,-1.468216
2022/11/27 16:53:25.677,-0.942841
2022/11/27 16:53:25.777,-1.041565
2022/11/27 16:53:25.877,-1.126450
2022/11/27 16:53:25.978,-0.636200
2022/11/27 16:53:26.078,-0.358902
2022/11/27 16:53:26.178,-0.583206
2022/11/27 16:53:26.279,-6.558334
2022/11/27 16:53:26.379,-1.031601
2022/11/27 16:53:26.479,-0.950516
2022/11/27 16:53:26.580,-1.371582
2022/11/27 16:53:26.680,-0.482086
2022/11/27 16:53:26.781,-0.381027
2022/11/27 16:53:26.880,-0.705032
2022/11/27 16:53:26.981,-5.808578
2022/11/27 16:53:27.081,-1.103088
2022/11/27 16:53:27.182,-1.002533
2022/11/27 16:53:27.282,-1.135178
2022/11/27 16:53:27.382,-0.423492
2022/11/27 16:53:27.486,-0.273163
2022/11/27 16:53:27.583,-0.551666
2022/11/27 16:53:27.683,-0.025131
2022/11/27 16:53:27.784,-0.988663
2022/11/27 16:53:27.884,-1.333145
2022/11/27 16:53:27.984,-1.123459
2022/11/27 16:53:28.085,-0.113937
2022/11/27 16:53:28.185,-0.237183
2022/11/27 16:53:28.285,-0.161087
2022/11/27 16:53:28.385,1.179443
2022/11/27 16:53:28.486,-0.973541
2022/11/27 16:53:28.586,-0.966339
2022/11/27 16:53:28.686,-1.057358
2022/11/27 16:53:28.787,-0.215363
2022/11/27 16:53:28.887,-0.083710
2022/11/27 16:53:28.988,-0.102097
2022/11/27 16:53:29.088,-5.433273
2022/11/27 16:53:29.188,-0.789444
2022/11/27 16:53:29.288,-0.929245
2022/11/27 16:53:29.389,-0.646530
2022/11/27 16:53:29.489,-0.686020
2022/11/27 16:53:29.589,-0.336227
2022/11/27 16:53:29.690,-0.825760
2022/11/27 16:53:29.790,-4.830780
2022/11/27 16:53:29.890,-0.615891
2022/11/27 16:53:29.990,-0.877930
2022/11/27 16:53:30.091,-0.702179
2022/11/27 16:53:30.193,-0.429291
2022/11/27 16:53:30.292,-0.107483
2022/11/27 16:53:30.392,-0.347519
2022/11/27 16:53:30.492,-3.644913
2022/11/27 16:53:30.593,-1.023788
2022/11/27 16:53:30.693,-1.077820
2022/11/27 16:53:30.793,-0.471848
2022/11/27 16:53:30.893,-0.443176
2022/11/27 16:53:30.994,-0.204468
2022/11/27 16:53:31.094,-0.494537
2022/11/27 16:53:31.194,-1.085297
2022/11/27 16:53:31.295,-0.973602
2022/11/27 16:53:31.395,-0.777878
2022/11/27 16:53:31.495,-1.257233
2022/11/27 16:53:31.596,-0.379242
2022/11/27 16:53:31.696,-0.165207
2022/11/27 16:53:31.797,-0.015305
2022/11/27 16:53:31.897,-1.693176
2022/11/27 16:53:31.997,-1.074188
2022/11/27 16:53:32.097,-0.922241
2022/11/27 16:53:32.197,-0.769836
2022/11/27 16:53:32.298,-0.247177
2022/11/27 16:53:32.398,-0.293243
2022/11/27 16:53:32.499,-0.051697
2022/11/27 16:53:32.599,0.289566
2022/11/27 16:53:32.699,-0.745712
2022/11/27 16:53:32.800,-0.393204
2022/11/27 16:53:32.900,-1.018127
2022/11/27 16:53:33.000,-0.367294
2022/11/27 16:53:33.101,-0.229645
2022/11/27 16:53:33.201,-0.101151
2022/11/27 16:53:33.301,-0.854630
2022/11/27 16:53:33.401,-0.968750
2022/11/27 16:53:33.502,-0.367966
2022/11/27 16:53:33.602,-0.644104
2022/11/27 16:53:33.703,-0.575500
2022/11/27 16:53:33.803,-0.209000
2022/11/27 16:53:33.903,-0.452393
2022/11/27 16:53:34.003,-0.264389
2022/11/27 16:53:34.104,-0.662384
2022/11/27 16:53:34.204,0.120605
2022/11/27 16:53:34.304,-0.069611
2022/11/27 16:53:34.405,-0.547424
2022/11/27 16:53:34.505,-0.184799
2022/11/27 16:53:34.606,-0.445145
2022/11/27 16:53:34.706,1.365143
2022/11/27 16:53:34.806,-0.569244
2022/11/27 16:53:34.906,-0.078583
2022/11/27 16:53:35.007,-0.663193
2022/11/27 16:53:35.107,-0.380905
2022/11/27 16:53:35.207,-0.149048
2022/11/27 16:53:35.308,-0.222748
2022/11/27 16:53:35.408,0.977905
2022/11/27 16:53:35.508,-0.386429
2022/11/27 16:53:35.609,-0.530701
2022/11/27 16:53:35.709,-0.450150
2022/11/27 16:53:35.809,-0.515045
2022/11/27 16:53:35.910,-0.182388
2022/11/27 16:53:36.010,-0.204102
2022/11/27 16:53:36.110,0.698547
2022/11/27 16:53:36.210,0.471069
2022/11/27 16:53:36.312,-0.488251
2022/11/27 16:53:36.411,-0.960129
2022/11/27 16:53:36.511,-0.652084
2022/11/27 16:53:36.612,-0.434769
2022/11/27 16:53:36.712,-0.239136
2022/11/27 16:53:36.812,0.064529
2022/11/27 16:53:36.913,1.060257
2022/11/27 16:53:37.013,-0.792145
2022/11/27 16:53:37.113,-1.436966
2022/11/27 16:53:37.213,-0.884171
2022/11/27 16:53:37.314,-0.401917
2022/11/27 16:53:37.414,-0.291962
2022/11/27 16:53:37.515,0.159119
2022/11/27 16:53:37.615,0.464249
2022/11/27 16:53:37.715,-0.939957
2022/11/27 16:53:37.815,-0.827515
2022/11/27 16:53:37.916,-0.719513
2022/11/27 16:53:38.016,-0.453735
2022/11/27 16:53:38.117,-0.228287
2022/11/27 16:53:38.217,0.312012
2022/11/27 16:53:38.317,-0.703629
2022/11/27 16:53:38.418,-0.642792
2022/11/27 16:53:38.518,-1.179901
2022/11/27 16:53:38.618,-0.784500
2022/11/27 16:53:38.719,-0.253662
2022/11/27 16:53:38.819,-0.141449
2022/11/27 16:53:38.919,0.044830
2022/11/27 16:53:39.019,-0.143799
2022/11/27 16:53:39.120,-0.595688
2022/11/27 16:53:39.220,-1.242630
2022/11/27 16:53:39.320,-0.924225
2022/11/27 16:53:39.421,-0.226593
2022/11/27 16:53:39.521,-0.147552
2022/11/27 16:53:39.621,0.044678
2022/11/27 16:53:39.722,-2.588684
2022/11/27 16:53:39.822,-0.618851
2022/11/27 16:53:39.922,-0.677658
