time,accl
2022/11/17 21:22:08.132,0.415695
2022/11/17 21:22:08.232,-0.209671
2022/11/17 21:22:08.333,-0.075348
2022/11/17 21:22:08.433,-1.723465
2022/11/17 21:22:08.533,-1.076401
2022/11/17 21:22:08.634,-1.643066
2022/11/17 21:22:08.734,1.285492
2022/11/17 21:22:08.834,0.421600
2022/11/17 21:22:08.935,0.227936
2022/11/17 21:22:09.035,-0.132202
2022/11/17 21:22:09.135,-1.588455
2022/11/17 21:22:09.235,-1.576874
2022/11/17 21:22:09.341,-2.248169
2022/11/17 21:22:09.436,0.899796
2022/11/17 21:22:09.537,0.836807
2022/11/17 21:22:09.637,0.509186
2022/11/17 21:22:09.737,-0.464355
2022/11/17 21:22:09.838,-0.720795
2022/11/17 21:22:09.938,-2.394547
2022/11/17 21:22:10.038,-1.162964
2022/11/17 21:22:10.138,0.506210
2022/11/17 21:22:10.239,0.781998
2022/11/17 21:22:10.339,0.706268
2022/11/17 21:22:10.440,-0.673264
2022/11/17 21:22:10.540,-0.257751
2022/11/17 21:22:10.640,-2.830688
2022/11/17 21:22:10.740,-2.307541
2022/11/17 21:22:10.841,-0.242538
2022/11/17 21:22:10.941,1.145462
2022/11/17 21:22:11.042,0.771042
2022/11/17 21:22:11.142,-0.692078
2022/11/17 21:22:11.242,-0.377655
2022/11/17 21:22:11.343,-2.432266
2022/11/17 21:22:11.443,-3.047150
2022/11/17 21:22:11.543,-0.318695
2022/11/17 21:22:11.644,1.280533
2022/11/17 21:22:11.744,0.803665
2022/11/17 21:22:11.844,-0.768585
2022/11/17 21:22:11.945,-0.514664
2022/11/17 21:22:12.045,-2.113327
2022/11/17 21:22:12.145,-0.723938
2022/11/17 21:22:12.246,-0.742828
2022/11/17 21:22:12.346,1.213089
2022/11/17 21:22:12.447,0.906219
2022/11/17 21:22:12.547,-0.705490
2022/11/17 21:22:12.647,-0.302216
2022/11/17 21:22:12.747,-1.925003
2022/11/17 21:22:12.848,-0.297409
2022/11/17 21:22:12.948,-0.795120
2022/11/17 21:22:13.049,0.796158
2022/11/17 21:22:13.149,1.009781
2022/11/17 21:22:13.249,-0.589310
2022/11/17 21:22:13.349,-0.004044
2022/11/17 21:22:13.450,-1.648087
2022/11/17 21:22:13.550,-0.710327
2022/11/17 21:22:13.650,-1.457443
2022/11/17 21:22:13.751,0.992813
2022/11/17 21:22:13.851,0.594925
2022/11/17 21:22:13.951,-0.464172
2022/11/17 21:22:14.051,0.122040
2022/11/17 21:22:14.153,-2.332611
2022/11/17 21:22:14.252,-0.727249
2022/11/17 21:22:14.353,-1.342163
2022/11/17 21:22:14.453,1.405792
2022/11/17 21:22:14.553,0.606064
2022/11/17 21:22:14.654,-0.689163
2022/11/17 21:22:14.754,-0.089767
2022/11/17 21:22:14.855,-2.245697
2022/11/17 21:22:14.955,-2.736816
2022/11/17 21:22:15.055,-0.776398
2022/11/17 21:22:15.156,1.663712
2022/11/17 21:22:15.256,0.563950
2022/11/17 21:22:15.356,-0.413116
2022/11/17 21:22:15.457,-0.147446
2022/11/17 21:22:15.557,-1.830368
2022/11/17 21:22:15.657,-1.621262
2022/11/17 21:22:15.757,-2.536423
2022/11/17 21:22:15.857,0.764252
2022/11/17 21:22:15.958,1.079529
2022/11/17 21:22:16.059,0.513123
2022/11/17 21:22:16.159,-0.411453
2022/11/17 21:22:16.259,-0.959106
2022/11/17 21:22:16.359,-2.096176
2022/11/17 21:22:16.460,-2.090286
2022/11/17 21:22:16.560,0.322739
2022/11/17 21:22:16.661,0.952194
2022/11/17 21:22:16.761,0.771362
2022/11/17 21:22:16.861,-0.577881
2022/11/17 21:22:16.962,-1.066666
2022/11/17 21:22:17.062,-2.537399
2022/11/17 21:22:17.162,-1.013565
2022/11/17 21:22:17.263,-0.629272
2022/11/17 21:22:17.363,1.233780
2022/11/17 21:22:17.463,0.837433
2022/11/17 21:22:17.564,-0.702225
2022/11/17 21:22:17.664,-0.542358
2022/11/17 21:22:17.764,-2.316101
2022/11/17 21:22:17.864,-3.294769
2022/11/17 21:22:17.965,-0.146576
2022/11/17 21:22:18.065,1.146271
2022/11/17 21:22:18.166,0.825912
2022/11/17 21:22:18.266,-0.741943
2022/11/17 21:22:18.367,-0.305008
2022/11/17 21:22:18.467,-2.390305
2022/11/17 21:22:18.567,-0.916534
2022/11/17 21:22:18.668,-0.570343
2022/11/17 21:22:18.768,0.923767
2022/11/17 21:22:18.868,0.854187
2022/11/17 21:22:18.968,-0.662903
2022/11/17 21:22:19.069,-0.072067
2022/11/17 21:22:19.169,-1.822418
2022/11/17 21:22:19.270,0.514557
2022/11/17 21:22:19.370,-0.767899
2022/11/17 21:22:19.470,0.840057
2022/11/17 21:22:19.571,0.847458
2022/11/17 21:22:19.671,-0.888901
2022/11/17 21:22:19.771,0.227219
2022/11/17 21:22:19.871,-2.395905
2022/11/17 21:22:19.972,0.702682
2022/11/17 21:22:20.072,-0.820862
2022/11/17 21:22:20.172,0.933167
